YM,QTY
2019-01,47133
2019-02,204996
2019-03,0
2019-04,234584
2019-05,0
2019-06,393968
2019-07,187079
2019-08,0
2019-09,263989
2019-10,88991
2019-11,103590
2019-12,93898
2020-01,82334
2020-02,104278
2020-03,87536
2020-04,0
2020-05,86652
2020-06,175723
2020-07,0
2020-08,162156
2020-09,133869
2020-10,26880
2020-11,0
2020-12,92670
2021-01,97748
2021-02,0
2021-03,0
2021-04,0
2021-05,41638
2021-06,74442
2021-07,155646
2021-08,0
2021-09,52222
2021-10,105895
2021-11,59071
2021-12,182412
